k,bootstrap_run,seed,pairwise_ari_to_reference,mean_cluster_jaccard,minimum_cluster_jaccard,runtime_seconds,unique_bootstrap_records
2,1,1242,0.0,0.5,0.078,0.08380049999999972,3809
2,2,1243,1.0,1.0,1.0,0.1514209590000002,3813
2,3,1244,-0.001212535694704072,0.49969268401156325,0.0780520346897932,0.15459933300000017,3793
2,4,1245,1.0,1.0,1.0,0.11013162500000018,3749
2,5,1246,1.0,1.0,1.0,0.11453004100000008,3768
2,6,1247,1.0,1.0,1.0,0.14403495800000066,3818
2,7,1248,0.014332793724578904,0.4999742050255726,0.07733333333333334,0.14169045800000024,3790
2,8,1249,-0.001212535694704072,0.49969268401156325,0.0780520346897932,0.13671641599999962,3830
2,9,1250,0.014332793724578904,0.4999742050255726,0.07733333333333334,0.17209870800000004,3775
2,10,1251,-0.001212535694704072,0.49969268401156325,0.0780520346897932,0.1591227919999998,3832
2,11,1252,0.03220229665953773,0.3556359207392132,0.1502086230876217,0.1537746250000005,3770
2,12,1253,0.014332793724578904,0.4999742050255726,0.07733333333333334,0.22386045799999987,3797
2,13,1254,0.014332793724578904,0.4999742050255726,0.07733333333333334,0.17844579100000058,3796
2,14,1255,-0.0024057902936608015,0.49938540275923454,0.07810413885180241,0.15028445899999987,3799
2,15,1256,1.0,1.0,1.0,0.1502119999999998,3786
2,16,1257,0.014332793724578904,0.4999742050255726,0.07733333333333334,0.14799045799999977,3771
2,17,1258,0.014332793724578904,0.4999742050255726,0.07733333333333334,0.1338685420000001,3775
2,18,1259,-0.0024057902936608015,0.49938540275923454,0.07810413885180241,0.13697712500000048,3799
2,19,1260,1.0,1.0,1.0,0.1296139580000002,3834
2,20,1261,1.0,1.0,1.0,0.13405016599999975,3762
3,1,1342,0.06687864832175909,0.3714443705509988,0.17076923076923076,0.1896797079999999,3815
3,2,1343,0.005816891735509342,0.32552383114180866,0.14107365792759052,0.19227475000000016,3748
3,3,1344,0.9950633641195169,0.8886476925550731,0.6666666666666666,0.18577279199999985,3786
3,4,1345,0.9946441767251901,0.7746875785949592,0.3333333333333333,0.19935658400000023,3798
3,5,1346,0.9900993606519987,0.777295733911786,0.3333333333333333,0.2155736250000011,3781
3,6,1347,0.22823893738238699,0.5164621200093958,0.008403361344537815,0.23355591699999856,3792
3,7,1348,0.0029383486170657595,0.4321134470635426,0.13725490196078433,0.18968383300000013,3798
3,8,1349,0.009915411845320223,0.21870902327107866,0.004098360655737705,0.21115937500000115,3791
3,9,1350,0.22624854155901944,0.5167317812454781,0.003952569169960474,0.19183995900000106,3791
3,10,1351,0.22853937817246767,0.5171851858083835,0.008403361344537815,0.258800625000001,3809
3,11,1352,0.9900993606519987,0.777295733911786,0.3333333333333333,0.2403220000000008,3815
3,12,1353,0.22864255697398705,0.5174262077413794,0.008403361344537815,0.18719191699999982,3766
3,13,1354,0.07564502180607754,0.37705572324581565,0.17535545023696683,0.24736933299999997,3760
3,14,1355,0.22732033114492553,0.5193622851137302,0.003896103896103896,0.2263879580000001,3842
3,15,1356,0.017934729070131786,0.33448748453531735,0.14173228346456693,0.21634329200000124,3768
3,16,1357,0.013442211284588697,0.3295121559388488,0.13583441138421734,0.2003539580000009,3818
3,17,1358,0.9900993606519987,0.777295733911786,0.3333333333333333,0.1925247920000004,3814
3,18,1359,1.0,1.0,1.0,0.19675683300000024,3822
3,19,1360,0.9900993606519987,0.777295733911786,0.3333333333333333,0.19303791699999984,3797
3,20,1361,0.9900993606519987,0.777295733911786,0.3333333333333333,0.19135320800000066,3782
4,1,1442,0.7290622473151898,0.7034826483196048,0.14404761904761904,0.21244012500000053,3773
4,2,1443,0.714383799235135,0.6967711936059486,0.14354066985645933,0.20685437499999892,3783
4,3,1444,0.9613142270220018,0.9840535220201497,0.9704797047970479,0.23618329199999977,3782
4,4,1445,0.2334715555586264,0.5336656760372556,0.3016666666666667,0.21633266699999965,3812
4,5,1446,0.7100327801333326,0.6988744183611268,0.14850299401197606,0.24699875000000127,3822
4,6,1447,0.23907600641265028,0.5457072565571427,0.27121212121212124,0.2449873329999992,3804
4,7,1448,0.24173997598695418,0.5364010927835943,0.3103448275862069,0.26827441600000057,3829
4,8,1449,0.15543678097095642,0.4972682687564864,0.1431686046511628,0.2209302090000005,3825
4,9,1450,0.7334210726728784,0.7039806837221494,0.14133016627078385,0.2336262920000003,3786
4,10,1451,0.7092830331646266,0.6989511494923561,0.14354066985645933,0.20210850000000136,3822
4,11,1452,0.23764788433026887,0.5452130996134975,0.35567970204841715,0.2266500839999992,3796
4,12,1453,0.716043222534995,0.6973267242097363,0.13700234192037472,0.20700375000000015,3800
4,13,1454,0.3285409194307983,0.42018448416798937,0.28078817733990147,0.21080599999999983,3790
4,14,1455,0.9749767818063914,0.9899088908772194,0.9813780260707635,0.26000200000000007,3811
4,15,1456,0.7338070489934948,0.7029582636127384,0.1380952380952381,0.2012199999999993,3822
4,16,1457,0.2604444276703946,0.5546916979750249,0.25547445255474455,0.2816824580000006,3827
4,17,1458,0.1575365656773049,0.4976925603538561,0.14265025343953658,0.21275695900000002,3828
4,18,1459,0.22884641803063016,0.5347598193573426,0.28637770897832815,0.22449274999999957,3756
4,19,1460,0.23569138700014394,0.5381072575558804,0.3391915641476274,0.242478792,3788
4,20,1461,0.7405126477237536,0.703198303097449,0.1322314049586777,0.2290282500000025,3801
5,1,1542,0.5469483624323962,0.7332645826504169,0.36115107913669064,0.2473072089999988,3797
5,2,1543,0.48133505582097413,0.7037564380649424,0.3619744058500914,0.26626441700000214,3777
5,3,1544,0.6679506894585422,0.8086811167546675,0.5714285714285714,0.25325158300000083,3815
5,4,1545,0.5641303186090737,0.5833635443699495,0.002053388090349076,0.28196566599999784,3850
5,5,1546,0.25630859607889145,0.6709757614638864,0.32608695652173914,0.2544948340000026,3796
5,6,1547,0.44056762352056505,0.7047811762994464,0.3252032520325203,0.27999470800000026,3829
5,7,1548,0.25640828778625624,0.6709310399143987,0.32522407170294493,0.2509894999999993,3807
5,8,1549,0.23980501231700085,0.6304129325857808,0.2335483870967742,0.3221560419999996,3726
5,9,1550,0.2555708572325858,0.47037504916368356,0.008547008547008548,0.2584435840000019,3802
5,10,1551,0.26900060434011425,0.6262020078670893,0.3183673469387755,0.24278966700000026,3810
5,11,1552,0.3319873175815374,0.6927609442882969,0.2995008319467554,0.3317281250000015,3818
5,12,1553,0.26108237748276236,0.4753399836752735,0.0015290519877675841,0.2792258750000016,3754
5,13,1554,0.12405121973947839,0.5768091156185113,0.22380952380952382,0.2550659579999994,3749
5,14,1555,0.12780025812657542,0.5844054908006668,0.2213302752293578,0.21866279199999994,3805
5,15,1556,0.559909254303583,0.7316060371517028,0.40131578947368424,0.2772198750000001,3823
5,16,1557,0.2533471939467107,0.6685428981719269,0.3201530612244898,0.2659638330000007,3839
5,17,1558,0.12852649283369055,0.5852292715182331,0.223121387283237,0.24048279100000158,3787
5,18,1559,0.6903560510044409,0.81561396820223,0.5714285714285714,0.27841204199999936,3773
5,19,1560,0.2588068586931157,0.672578867749267,0.3281853281853282,0.23133849999999967,3829
5,20,1561,0.24959914671212574,0.6656147256565043,0.3147914032869785,0.26735816700000115,3815
6,1,1642,0.4752906273197793,0.6056876809034492,0.016286644951140065,0.2869092910000006,3860
6,2,1643,0.5694381658436299,0.7545991189355418,0.1297709923664122,0.25749183299999956,3822
6,3,1644,0.9609920097189179,0.6793949632075261,0.008547008547008548,0.27233008299999995,3814
6,4,1645,0.20928197914238528,0.5180920795720012,0.0297029702970297,0.26514470799999756,3802
6,5,1646,0.9468500715590629,0.8284006404208183,0.07142857142857142,0.2808120410000008,3801
6,6,1647,0.11452229453790384,0.46671242667509566,0.031914893617021274,0.31744725000000074,3756
6,7,1648,0.7170208229906068,0.648573259557813,0.10526315789473684,0.4541802920000002,3780
6,8,1649,0.9586812850508087,0.8280073168471768,0.05263157894736842,0.2974442080000017,3786
6,9,1650,0.905206728553548,0.6585286717237826,0.05263157894736842,0.29364849999999976,3812
6,10,1651,0.19712686713860605,0.5216207561728573,0.15789473684210525,0.2982629170000024,3750
6,11,1652,0.8564602924229165,0.7858935886189644,0.017543859649122806,0.28289679199999895,3761
6,12,1653,0.9304343970851878,0.8206153214384505,0.05263157894736842,0.2643625000000007,3794
6,13,1654,0.5027083369296086,0.6132804581925503,0.0166270783847981,0.3259625830000026,3798
6,14,1655,0.8614075462598448,0.7829295458999642,0.015384615384615385,0.2612588750000029,3760
6,15,1656,0.8590046162469106,0.7855997878224531,0.015151515151515152,0.247316584,3812
6,16,1657,0.6996889847436644,0.7562395699708891,0.015151515151515152,0.30991654199999985,3794
6,17,1658,0.594168369080492,0.7282354389697369,0.015037593984962405,0.2448385420000001,3773
6,18,1659,0.49169312754547545,0.5967864038302669,0.017817371937639197,0.236258792000001,3770
6,19,1660,0.8604311435293704,0.7866388773668564,0.015037593984962405,0.2879642079999982,3789
6,20,1661,0.1725910843222899,0.4890548175534704,0.015267175572519083,0.2564681250000014,3817
7,1,1742,0.8623698770508801,0.6933404259627546,0.06015037593984962,0.25567604200000105,3822
7,2,1743,0.9503936623214545,0.8537426669843243,0.08333333333333333,0.3157491669999999,3783
7,3,1744,0.7588294896586312,0.6589256709792585,0.02857142857142857,0.3196350420000016,3822
7,4,1745,0.9574641094960906,0.7238562854713949,0.008547008547008548,0.3022747919999986,3776
7,5,1746,0.4203441541690866,0.7161372945318657,0.05263157894736842,0.2978815000000026,3779
7,6,1747,0.6859153351379244,0.6462757402492996,0.004424778761061947,0.29052462499999976,3791
7,7,1748,0.6459470647378964,0.76340475266928,0.008695652173913044,0.3132604170000022,3773
7,8,1749,0.6667639248658225,0.7320670553704339,0.1111111111111111,0.3119247499999993,3792
7,9,1750,0.5215020210526059,0.6538585033093388,0.025210084033613446,0.32122154199999997,3776
7,10,1751,0.9344501582773287,0.8463201671105327,0.05263157894736842,0.2989901669999995,3773
7,11,1752,0.6535117808405085,0.6494782029704691,0.06060606060606061,0.3146372910000004,3813
7,12,1753,0.2388302617581764,0.4413497913604506,0.06896551724137931,0.3677317920000043,3760
7,13,1754,0.6666803649425279,0.6583991559012426,0.060836501901140684,0.3062408750000003,3785
7,14,1755,0.8569299627710407,0.687378137352846,0.05263157894736842,0.326214874999998,3773
7,15,1756,0.45254263637629877,0.5211303834645113,0.05263157894736842,0.32271375000000546,3806
7,16,1757,0.4509585600817375,0.7196483024417041,0.017488076311605722,0.3318464170000013,3816
7,17,1758,0.43083575599936047,0.5146963050035945,0.05263157894736842,0.30263258300000473,3848
7,18,1759,0.5383454145002783,0.6267749229371039,0.008547008547008548,0.30827483400000233,3802
7,19,1760,0.35539226742872576,0.5470544057915084,0.008620689655172414,0.35025699999999915,3790
7,20,1761,0.33649928338810575,0.579941947397134,0.06037735849056604,0.3532839590000023,3806
8,1,1842,0.42568436707648305,0.5207777934413798,0.004608294930875576,0.35597329099999797,3800
8,2,1843,0.621933340810036,0.7887692910548073,0.03081232492997199,0.4102928339999963,3819
8,3,1844,0.6781331205576188,0.588279082880267,0.06642066420664207,0.3023317090000006,3781
8,4,1845,0.7465540604004669,0.8277113536265307,0.04522613065326633,0.31028174999999436,3769
8,5,1846,0.4772214910145314,0.5326342887043657,0.024390243902439025,0.3668591670000012,3778
8,6,1847,0.5387240225771163,0.5973588784349737,0.03125,0.354073458000002,3805
8,7,1848,0.7276187099710072,0.6858166683093244,0.008771929824561403,0.31469949999999614,3827
8,8,1849,0.7127992222427133,0.7027315016864242,0.015625,0.27092008300000003,3773
8,9,1850,0.32192184550634656,0.6363325133168898,0.016605166051660517,0.342190875,3795
8,10,1851,0.7348259094230444,0.5934998803766721,0.0051813471502590676,0.3283807079999974,3788
8,11,1852,0.5598395997915373,0.6129709814738185,0.015503875968992248,0.3684465419999938,3791
8,12,1853,0.9511113753892473,0.7492955423281042,0.015503875968992248,0.3124350000000007,3787
8,13,1854,0.6505254747933057,0.46805048914027964,0.008620689655172414,0.3706338749999958,3852
8,14,1855,0.48055281283516527,0.4955565841147895,0.015625,0.3029152499999981,3799
8,15,1856,0.5227621804362402,0.6164463341976488,0.025,0.3385418750000042,3825
8,16,1857,0.7099309931553334,0.71191349051254,0.04739336492890995,0.3350633339999973,3771
8,17,1858,0.6786573693073876,0.6975843894718858,0.06134969325153374,0.29556104199999567,3810
8,18,1859,0.7108961772546394,0.701738878123497,0.015503875968992248,0.32573208299999834,3770
8,19,1860,0.5204350529331555,0.5804640630230964,0.020100502512562814,0.3232816249999999,3781
8,20,1861,0.5271116128530616,0.654075234953388,0.04433497536945813,0.30085804199999444,3762
